keyword,appearances,early_avg_rank,late_avg_rank,new_entry,rising_score
보리수열매,6,,244.8,True,58.52
부타만,1,,220,True,58.5
고령개진감자,1,,221,True,58.4
황매실,15,101.3,50.6,False,58.16
바질페스토,3,469,412.5,False,58.0
리팜,2,,230.5,True,57.95
스테비아방울토마토,11,426,373.6,False,57.88
구운란,8,338,284.2,False,57.8
캠핑음식,4,405.7,350,False,57.67
오레오bts,8,,267.8,True,57.23
팔레오240g,2,,239.5,True,57.05
우뭇가사리,2,448,392,False,57.0
샐러드젤리,2,,240.5,True,56.95
맛콩,1,,241,True,56.4
수향미,15,141,92.2,False,56.25
그래놀라,2,494,439,False,56.0
홍산마늘가격,5,,267.6,True,55.74
동결건조콜라겐,1,,254,True,55.1
살구,15,80.9,33.4,False,54.98
답례품,14,353.9,306,False,54.86
사우어크라우트,1,,260,True,54.5
홍산마늘가격한접,6,,286,True,54.4
관절보궁,7,439,388.2,False,54.3
코글루타이드,3,,273.3,True,54.17
불닭소스,14,423.7,376.8,False,53.92
하이퍼셀오메가3,1,,267,True,53.8
사세버팔로윙,3,478,426,False,53.5
부대찌개,2,,277,True,53.3
육개장사발면,9,412,363.2,False,53.25
컵밥,5,419.7,369,False,53.17
원장어,2,,280.5,True,52.95
레스큐라이트액,3,,286,True,52.9
mbp,14,278.6,233.1,False,52.43
반숙란,13,237.2,191.3,False,52.38
육회,9,340,292.2,False,52.3
오뜨애플파이,2,,287.5,True,52.25
난각번호1번,15,326.3,281.6,False,52.16
청계란,2,,289.5,True,52.05
피타브레드,5,,306,True,51.9
하모샤브샤브,1,,291,True,51.4
열무,6,417.3,369,False,51.33
후레쉬베리펑리수,6,464.5,416.5,False,51.0
오리온네이버스토어,1,,295,True,51.0
마시는샐러드,2,,303,True,50.7
하루견과류,1,,298,True,50.7
밴댕이회,4,,316.8,True,50.33
양파,15,123.3,80.5,False,50.29
컵라면,15,231.6,189,False,50.07
무브프리,2,,312,True,49.8
우유,7,441,395,False,49.5
명가꽈배기,1,,310,True,49.5
옛날과자,1,,312,True,49.3
푸룬주스,15,212,170.2,False,49.25
콩나물국밥육수,2,,317.5,True,49.25
상황버섯,3,,323,True,49.2
포기김치,7,,346.1,True,48.89
39갈비,1,,318,True,48.7
위건강엔매스틱,1,,319,True,48.6
26년햇마늘,5,482,436,False,48.5
티니포크카라멜,2,,326,True,48.4
김부각,1,,323,True,48.2
김보람초콜릿,1,,323,True,48.2
홍삼진액,14,304.3,263.2,False,48.08
매실청,15,187.9,147.4,False,47.98
컴프리,2,,331.5,True,47.85
키친노트냉면,1,,327,True,47.8
la갈비,15,215.1,174.9,False,47.77
유기농매실,1,,328,True,47.7
루꼴라,6,424,379.4,False,47.6
철갑상어콘드로이친,1,,329,True,47.6
신비복숭아5kg,3,,340,True,47.5
콘신부타만,5,,350.6,True,47.44
테아닌,15,242.1,202.6,False,47.02
